32,1,5,31,633.73,188.21,,2016-01-16 23:59:59,6,2016-04-06 23:59:59,2016-04-13 23:59:59,6,7,2016-05-10 23:59:59,8,2,1,2,88,
33,1,5,32,633.73,188.21,,2016-01-23 23:59:59,6,2016-04-13 23:59:59,2016-04-20 23:59:59,6,7,2016-05-18 23:59:59,6,1,1,0,88,
34,1,5,33,633.73,188.21,,2016-02-01 23:59:59,7,2016-04-20 23:59:59,2016-04-29 23:59:59,8,7,2016-05-24 23:59:59,5,1,0,-3,86,
35,1,5,34,633.73,188.21,,2016-02-11 23:59:59,6,2016-04-29 23:59:59,2016-05-06 23:59:59,5,7,2016-06-01 23:59:59,7,1,0,2,87,
36,1,5,35,563,161.33,,2016-02-18 23:59:59,6,2016-05-06 23:59:59,2016-05-13 23:59:59,6,7,2016-06-14 23:59:59,11,2,0,5,92,
37,1,5,36,563,161.33,,2016-02-29 23:59:59,9,2016-05-13 23:59:59,2016-05-21 23:59:59,6,7,2016-06-25 23:59:59,10,1,0,4,93,
38,1,5,37,563,161.33,,2016-03-07 23:59:59,6,2016-05-21 23:59:59,2016-05-31 23:59:59,8,7,2016-07-02 23:59:59,4,1,2,-4,91,
39,1,5,MR,100,0,3,2016-03-31 23:59:59,19,2016-05-31 23:59:59,2016-06-25 23:59:59,21,7,,,0,0,,0,
40,1,5,LMR,100,0,,2016-04-28 23:59:59,23,2016-06-25 23:59:59,2016-08-01 23:59:59,30,7,,,0,0,,0,
41,1,5,UR,100,0,,2016-05-26 23:59:59,23,2016-08-01 23:59:59,2016-09-05 23:59:59,30,7,,,0,0,,0,
42,1,5,TR,100,0,4,2016-06-23 23:59:59,23,2016-09-05 23:59:59,2016-10-13 23:59:59,31,7,,,0,0,,0,
43,1,5,FDN,100,0,,2014-10-07 23:59:59,0,2014-10-07 23:59:59,2014-10-07 23:59:59,0,1,2014-10-13 23:59:59,5,1,0,5,5,
